9 2.46757221221924 [23,27], free 1 [23,27], free 1
5 1.09440922737122 [12,14], free 1 [12,14], free 1
10 2.24216461181641 [4,2], free 1 [4,2], free 1
6 1.35547423362732 [72,33], free 1 [72,33], free 1
11 2.49182772636414 [71,5], free 1 [71,5], free 1
2 0.69459342956543 [141,37], free 1 [141,37], free 1
11 3.78703379631042 [5,50], free 1 [5,50], free 1
9 2.10684585571289 [75,41], free 1 [75,41], free 1
9 2.02174592018127 [23,9], free 1 [23,9], free 1
17 3.71350884437561 [149,1], free 1 [149,1], free 1
11 2.3808217048645 [57,13], free 1 [57,13], free 1
5 1.24092936515808 [148,21], free 1 [148,21], free 1
76 17.4961159229279 [55,50], free 1 [55,50], free 1
4 0.833285331726074 [88,6], free 1 [88,6], free 1
19 4.03137755393982 [93,43], free 1 [93,43], free 1
10 2.10644030570984 [90,31], free 1 [90,31], free 1
5 1.0887143611908 [26,21], free 1 [26,21], free 1
10 2.21977138519287 [5,51], free 1 [5,51], free 1
14 2.98506712913513 [121,45], free 1 [121,45], free 1
8 1.71911883354187 [35,33], free 1 [35,33], free 1
9 2.55735993385315 [21,5], free 1 [21,5], free 1
4 0.916979074478149 [109,45], free 1 [109,45], free 1
3 0.698977947235107 [73,1], free 1 [73,1], free 1
10 2.91330289840698 [2,17], free 1 [2,17], free 1
13 4.4663405418396 [13,47], free 1 [13,47], free 1
9 3.292400598526 [12,29], free 1 [12,29], free 1
7 2.42220497131348 [115,44], free 1 [115,44], free 1
12 2.78013134002686 [29,24], free 1 [29,24], free 1
8 1.61486983299255 [33,39], free 1 [33,39], free 1
5 1.03398871421814 [66,8], free 1 [66,8], free 1
23 5.32339096069336 [10,42], free 1 [10,42], free 1
4 1.62763905525208 [45,19], free 1 [45,19], free 1
12 2.68447351455688 [89,16], free 1 [89,16], free 1
5 1.01462173461914 [2,51], free 1 [2,51], free 1
12 2.49041986465454 [23,35], free 1 [23,35], free 1
5 1.09479522705078 [127,25], free 1 [127,25], free 1
10 2.53050994873047 [15,1], free 1 [15,1], free 1
8 1.66858625411987 [129,31], free 1 [129,31], free 1
8 1.7553870677948 [26,1], free 1 [26,1], free 1
5 1.01371574401855 [48,49], free 1 [48,49], free 1
8 1.84445095062256 [77,41], free 1 [77,41], free 1
6 1.93803000450134 [152,45], free 1 [152,45], free 1
5 1.85197687149048 [152,44], free 1 [152,44], free 1
9 2.22237658500671 [13,49], free 1 [13,49], free 1
21 6.59877848625183 [118,27], free 1 [118,27], free 1
